,BrandClean,Recycled,Quantity,BottleType,Weight,Colour,Alcohol,SupplierCity,SupplierCountry,DestinationCity,DestinationCountry,Tonnage,Tonnage%PCR,Tonnage_PCR,SupLat,SupLong,DestLat,DestLong,ProductCode/SKU,Product name,Brand,Distance_km,EmissionFactor,Carbon_Impact_kgCO2,Carbon_Impact_tCO2,Brand_Carbon_Impact_t,Emission_Category
2146,Royal Stag,0.15,301380.0,75.0,485,Flint,Whisky,BAHADURGARH,INDIA,Derabassi,INDIA,146.1693,21.925395,21.925395,28.6933239,76.9332373,30.5964,76.8433,BTRSQOSC12,PLAIN BOTTLES - BULK_ROYAL STAG_750ml,ROYAL STAG,211.7907947273385,0.15,4643.6,4.64,8615.19,Very High
2147,Imperial Blue,0.35,301266.0,18.0,145,Flint,Whisky,KOLKATA,INDIA,Guwahati,INDIA,43.68357,15.2892495,15.2892495,22.5726459,88.3638953,26.1805978,91.753943,BTIBNGEN08,GLASS BOTTLE_IMPERIAL BLUE_180ml,IMPERIAL BLUE,527.9881018853611,0.15,3459.66,3.46,5136.66,Very High
2148,Blenders,0.415,301200.0,37.5,250,Flint,Whisky,FIROZABAD,INDIA,Hoogly,INDIA,75.3,31.2495,31.2495,27.1527986,78.3991439,22.545643,88.31298178159038,BTBPPOSC12,PLAIN BOTTLES - BULK_BLENDERS PRIDE_375ml,BLENDERS PRIDE,1123.2676406967214,0.05,4229.1,4.23,2580.63,Very High
2149,Various,0.629,301056.0,150.0,660,DEAD LEAF,WINE,Adelaide,Australia,Rowland Flat,AUSTRALIA,198.69696,125.0015114,124.98038784,-34.9281805,138.5999312,-34.57086165,138.92841765443825,BTL223576,1.5L AG SC CLARET 660GM AG248,VARIOUS PRW AUSTRALIA,49.79284901513593,0.15,1484.05,1.48,242.76999999999998,High
2150,Royal Stag,0.55,301056.0,18.0,170,Flint,Whisky,FIROZABAD,INDIA,Gwalior,INDIA,51.17952,28.148736,28.148736,27.1527986,78.3991439,26.2037247,78.1573628,BTRSNGEN12,PLAIN BOTTLES - BULK_ROYAL STAG_180ml,ROYAL STAG,108.23175854968028,0.15,830.89,0.83,8615.19,Very High
2151,Blenders,0.415,300972.0,75.0,420,Flint,Whisky,FIROZABAD,INDIA,Derabassi,INDIA,126.40824,52.4594196,52.4594196,27.1527986,78.3991439,30.5964,76.8433,BTBPQOSC12,GLASS BOTTLE_BLENDERS PRIDE_750ml,BLENDERS PRIDE,411.7739228089957,0.15,7807.74,7.81,2580.63,Very High
2152,Blenders,0.296,300960.0,75.0,420,Flint,Whisky,HYDERABAD,INDIA,Hyderabad,INDIA,126.4032,37.4153472,37.4153472,17.360589,78.4740613,17.360589,78.4740613,BTBPQOSC12,PLAIN BOTTLES - BULK_BLENDERS PRIDE_750ml,BLENDERS PRIDE,0.0,0.15,0.0,0.0,2580.63,Very High
2153,Blenders,0.527,300912.0,18.0,170,FLINT,WHISKY,SURAT,INDIA,Hyderabad,INDIA,51.15504,26.9416544,26.95870608,21.2094892,72.8317058,17.360589,78.4740613,BTBPNOSC12,GLASS BOTTLE_BLENDERS PRIDE_180ml,BLENDERS PRIDE,730.5136458037183,0.15,5605.42,5.61,2580.63,Very High
2154,Royal Stag,100.0,300599.0,18.0,170,Flint,Whisky,PANIPAT,INDIA,Derabassi,INDIA,51.10183,0.0,5110.183,29.3912753,76.9771675,30.5964,76.8433,BTRSNGEN29,GLASS BOTTLE_ROYAL STAG_180ml,ROYAL STAG,134.62241691842428,0.15,1031.92,1.03,8615.19,Very High
2155,Royal Stag,0.35,300504.0,37.5,280,Flint,Whisky,KOLKATA,INDIA,Bhubneshwar,INDIA,84.14112,29.449392,29.449392,22.5726459,88.3638953,20.9603876,82.719444,BTRSPOSC12,GLASS BOTTLE_ROYAL STAG_375ml,ROYAL STAG,609.7739670365731,0.15,7696.06,7.7,8615.19,Very High
2156,Ballantines,0.3,300080.0,150.0,1000,AMBER,WHISKY,ALLOA,SCOTLAND,KILMALID,SCOTLAND,300.08,90.024,90.02399999999999,56.1156137,-3.7922423,56.6456489,-5.4313062,0B326002,BOT 150 RO AMB ELON BAL GLS LV,BALLANTINE'S FINEST,116.85623911560447,0.15,5259.93,5.26,554.99,Very High
2157,Royal Stag,0.3,300000.0,37.5,280,Flint,Whisky,FIROZABAD,INDIA,Meghalaya,INDIA,84.0,25.2,25.2,27.1527986,78.3991439,25.5379432,91.2999102,BTRSPOSC12,GLASS BOTTLE_ROYAL STAG_375ml,ROYAL STAG,1297.3813147251615,0.05,5449.0,5.45,8615.19,Very High
2158,Imperial Blue,100.0,299978.0,18.0,145,FLINT,WHISKY,ULLHASNAG,INDIA,Gwalior,INDIA,43.49681,0.0,4349.6810000000005,19.2236329,73.1671515,26.2037247,78.1573628,BTIBNGEN27,GLASS BOTTLE_IMPERIAL BLUE_180ml,IMPERIAL BLUE,929.4533893005054,0.15,6064.24,6.06,5136.66,Very High
2159,Royal Stag,0.15,299880.0,75.0,485,Flint,Whisky,BAHADURGARH,INDIA,Derabassi,INDIA,145.4418,21.81627,21.81627,28.6933239,76.9332373,30.5964,76.8433,BTRSQGEN12,GLASS BOTTLE_ROYAL STAG_750ml,ROYAL STAG,211.7907947273385,0.15,4620.49,4.62,8615.19,Very High
2160,Blenders,0.296,299640.0,37.5,250,Flint,Whisky,HYDERABAD,INDIA,Hyderabad,INDIA,74.91,22.17336,22.17336,17.360589,78.4740613,17.360589,78.4740613,BTBPPOSC12,GLASS BOTTLE_BLENDERS PRIDE_375ml,BLENDERS PRIDE,0.0,0.15,0.0,0.0,2580.63,Very High
2161,100 Pipers,0.296,299466.0,6.0,75,Flint,Whisky,HYDERABAD,INDIA,Bangalore,INDIA,22.45995,6.6481452,6.648145199999999,17.360589,78.4740613,12.9767936,77.590082,BTHPMGEN03,PLAIN BOTTLES - BULK_100 PIPERS_60ml,100 PIPERS,496.5964138576476,0.15,1673.03,1.67,394.82,High
2162,Imperial Blue,0.296,299376.0,37.5,240,Flint,Whisky,HYDERABAD,INDIA,Hyderabad,INDIA,71.85024,21.26767104,21.26767104,17.360589,78.4740613,17.360589,78.4740613,BTIBPOSC07,GLASS BOTTLE_IMPERIAL BLUE_375ml,IMPERIAL BLUE,0.0,0.15,0.0,0.0,5136.66,Very High
2163,Royal Stag,0.3,299280.0,37.5,275,FLINT,WHISKY,FIROZABAD,INDIA,Guwahati,INDIA,82.302,24.6906,24.6906,27.1527986,78.3991439,26.1805978,91.753943,BTRSPOSC13,GLASS BOTTLE_ROYAL STAG_375ml,ROYAL STAG,1330.793921533599,0.05,5476.35,5.48,8615.19,Very High
2164,Imperial Blue,0.296,298872.0,18.0,145,Flint,Whisky,HYDERABAD,INDIA,Gwalior,INDIA,43.33644,12.82758624,12.82758624,17.360589,78.4740613,26.2037247,78.1573628,BTIBNOSE08,GLASS BOTTLE_IMPERIAL BLUE_180ml,IMPERIAL BLUE,983.8538280927257,0.15,6395.51,6.4,5136.66,Very High
2165,Imperial Blue,0.527,298776.0,75.0,400,Flint,Whisky,SURAT,INDIA,Gwalior,INDIA,119.5104,62.942144,62.9819808,21.2094892,72.8317058,26.2037247,78.1573628,BTIBQOSE07,PLAIN BOTTLES - BULK_IMPERIAL BLUE_750ml,IMPERIAL BLUE,775.9281726525912,0.15,13909.72,13.91,5136.66,Very High
2166,Imperial Blue,0.3,298560.0,18.0,145,Flint,Whisky,FIROZABAD,INDIA,Kanpur,INDIA,43.2912,12.98736,12.98736,27.1527986,78.3991439,26.4609135,80.3217588,BTIBNGEN08,PLAIN BOTTLES - BULK_IMPERIAL BLUE_180ml,IMPERIAL BLUE,205.73238983849643,0.15,1335.96,1.34,5136.66,Very High
2167,Imperial Blue,0.3,298560.0,37.5,240,FLINT,WHISKY,FIROZABAD,INDIA,Derabassi,INDIA,71.6544,21.49632,21.496319999999997,27.1527986,78.3991439,30.5964,76.8433,BTIBPOSC07,GLASS BOTTLE_IMPERIAL BLUE_375ml,IMPERIAL BLUE,411.7739228089957,0.15,4425.81,4.43,5136.66,Very High
2168,Blenders,0.35,298425.0,75.0,420,Flint,Whisky,VADODARA,INDIA,Nashik,INDIA,125.3385,43.868475,43.868475,22.2973142,73.1942567,20.0112475,73.7902364,BTBPQGEN12,PLAIN BOTTLES - BULK_BLENDERS PRIDE_750ml,BLENDERS PRIDE,261.6030434398766,0.15,4918.34,4.92,2580.63,Very High
2169,Royal Stag,0.57,298416.0,18.0,170,Flint,Whisky,FIROZABAD,INDIA,Gwalior,INDIA,50.73072,28.9165104,28.916510399999996,27.1527986,78.3991439,26.2037247,78.1573628,BTRSNOSC12,PLAIN BOTTLES - BULK_ROYAL STAG_180ml,ROYAL STAG,108.23175854968028,0.15,823.6,0.82,8615.19,Very High
2170,Royal Stag,0.377,298368.0,18.0,170,Flint,Whisky,BHONGIR,INDIA,Gwalior,INDIA,50.72256,19.12240512,19.12240512,17.5172789,78.8863383,26.2037247,78.1573628,BTRSNOSE12,GLASS BOTTLE_ROYAL STAG_180ml,ROYAL STAG,968.8056563227456,0.15,7371.05,7.37,8615.19,Very High
2171,Royal Stag,0.55,298248.0,37.5,280,Flint,Whisky,FIROZABAD,INDIA,Karnal ,INDIA,83.50944,45.930192,45.930192000000005,27.1527986,78.3991439,29.6803266,76.9896254,BTRSPOSC12,PLAIN BOTTLES - BULK_ROYAL STAG_375ml,ROYAL STAG,313.0238140061687,0.15,3921.07,3.92,8615.19,Very High
2172,Royal Stag,0.296,298128.0,18.0,170,Flint,Whisky,HYDERABAD,INDIA,Bangalore,INDIA,50.68176,15.00180096,15.00180096,17.360589,78.4740613,12.9767936,77.590082,BTRSNOSC12,GLASS BOTTLE_ROYAL STAG_180ml,ROYAL STAG,496.5964138576476,0.15,3775.26,3.78,8615.19,Very High
2173,Royal Stag,0.296,298128.0,18.0,170,FLINT,WHISKY,HYDERABAD,INDIA,Bhubneshwar,INDIA,50.68176,15.00180096,15.00180096,17.360589,78.4740613,20.9603876,82.719444,BTRSNOSC12,GLASS BOTTLE_ROYAL STAG_180ml,ROYAL STAG,599.135979410466,0.15,4554.79,4.55,8615.19,Very High
2174,Royal Stag,0.527,298080.0,18.0,170,Flint,Whisky,SURAT,INDIA,Kolhapur,INDIA,50.6736,26.688096,26.7049872,21.2094892,72.8317058,16.7028412,74.2405329,BTRSNOSC12,PLAIN BOTTLES - BULK_ROYAL STAG_180ml,ROYAL STAG,522.5449089571575,0.15,3971.88,3.97,8615.19,Very High
2175,Imperial Blue,100.0,297886.0,18.0,150,Flint,Whisky,DELHI,INDIA,Behror,INDIA,44.6829,0.0,4468.29,28.6138954,77.2090057,27.8900657,76.2858227,BTIBNGEN27,GLASS BOTTLE_IMPERIAL BLUE_180ml,IMPERIAL BLUE,121.05535204586752,0.15,811.37,0.81,5136.66,Very High
2176,Blenders,0.527,297780.0,9.0,95,Flint,Whisky,SURAT,INDIA,Gwalior,INDIA,28.2891,14.898926,14.9083557,21.2094892,72.8317058,26.2037247,78.1573628,BTBPDGEN12,GLASS BOTTLE_BLENDERS PRIDE_90ml,BLENDERS PRIDE,775.9281726525912,0.15,3292.55,3.29,2580.63,Very High
2177,Blenders,0.16,297600.0,18.0,220,Flint,Whisky,FIROZABAD,INDIA,Guwahati,INDIA,65.472,10.47552,10.47552,27.1527986,78.3991439,26.1805978,91.753943,BTBRNGEN03,PLAIN BOTTLES - BULK_BLENDERS PRIDE RESERVE COLLECTION_180ml,BLENDERS PRIDE RESERVE COLLECTION,1330.793921533599,0.05,4356.49,4.36,436.98,High
2178,Royal Stag,0.3,297600.0,18.0,170,Flint,Whisky,FIROZABAD,INDIA,Derabassi,INDIA,50.592,15.1776,15.177599999999998,27.1527986,78.3991439,30.5964,76.8433,BTRSNGEN12,GLASS BOTTLE_ROYAL STAG_180ml,ROYAL STAG,411.7739228089957,0.15,3124.87,3.12,8615.19,Very High
2179,Imperial Blue,0.55,297456.0,18.0,145,Flint,Whisky,FIROZABAD,INDIA,Kanpur,INDIA,43.13112,23.722116,23.722116000000003,27.1527986,78.3991439,26.4609135,80.3217588,BTIBNGEN08,GLASS BOTTLE_IMPERIAL BLUE_180ml,IMPERIAL BLUE,205.73238983849643,0.15,1331.02,1.33,5136.66,Very High
2180,Royal Stag,0.287,297360.0,37.5,280,Flint,Whisky,AURANGABAD,INDIA,Hyderabad,INDIA,83.2608,23.8958496,23.8958496,24.7536696,84.3746725,17.360589,78.4740613,BTRSPGEN12,GLASS BOTTLE_ROYAL STAG_375ml,ROYAL STAG,1024.6587597683033,0.05,4265.7,4.27,8615.19,Very High
